epoch,time,train/box,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
1,1.70111,3.08907,5.70807,4.40854,0,0,0,0,3.48862,5.29562,4.15891,0,0,0
2,2.40465,3.19129,5.67679,4.18451,0,0,0,0,3.48865,5.29574,4.15854,1.17822e-06,1.17822e-06,1.17822e-06
3,3.33433,3.74745,5.9519,4.26644,0,0,0,0,3.48865,5.29574,4.15838,2.33288e-06,2.33288e-06,2.33288e-06
4,4.15457,3.10762,5.83415,4.34154,0,0,0,0,3.48865,5.29574,4.15836,3.46397e-06,3.46397e-06,3.46397e-06
5,5.11558,3.57665,5.74953,4.3316,0,0,0,0,3.48891,5.29101,4.1582,4.5715e-06,4.5715e-06,4.5715e-06
6,6.04717,2.93445,5.78491,4.39151,0,0,0,0,3.48846,5.29213,4.15833,5.65548e-06,5.65548e-06,5.65548e-06
7,6.97446,3.63811,5.40491,4.226,0,0,0,0,3.48873,5.29486,4.15822,6.71588e-06,6.71588e-06,6.71588e-06
8,7.96222,3.79679,5.46244,4.16865,0,0,0,0,3.48923,5.29066,4.15808,7.75273e-06,7.75273e-06,7.75273e-06
9,8.86072,3.15411,5.73271,4.36342,0,0,0,0,3.48884,5.29512,4.15797,8.76602e-06,8.76602e-06,8.76602e-06
10,9.74683,2.7752,5.58071,4.31565,0,0,0,0,3.48806,5.29446,4.158,9.75574e-06,9.75574e-06,9.75574e-06
11,10.681,3.15272,5.56079,4.24666,0,0,0,0,3.48784,5.29403,4.15781,1.07219e-05,1.07219e-05,1.07219e-05
12,11.6818,3.41155,5.56818,4.2195,0,0,0,0,3.4885,5.29337,4.15801,1.16645e-05,1.16645e-05,1.16645e-05
13,12.518,3.49556,5.62631,4.23989,0,0,0,0,3.48847,5.29498,4.15777,1.25835e-05,1.25835e-05,1.25835e-05
14,13.4041,3.39578,5.63111,4.2546,0,0,0,0,3.48931,5.29076,4.15774,1.3479e-05,1.3479e-05,1.3479e-05
15,14.3258,3.20281,5.76594,4.20535,0,0,0,0,3.48989,5.29457,4.15737,1.43509e-05,1.43509e-05,1.43509e-05
16,15.365,3.32556,5.53299,4.29423,0,0,0,0,3.48973,5.29104,4.15747,1.51993e-05,1.51993e-05,1.51993e-05
