epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.34,2.78637,4.75094,3.15996,0.41194,0.02728,0.01702,0.00797,2.05572,3.39659,2.30259,0.00333288,0.00333288,0.00333288
2,1321.22,1.82008,3.41119,1.97924,0.24383,0.12038,0.07999,0.04508,1.71455,2.69607,1.8792,0.00660022,0.00660022,0.00660022
3,1975.46,1.65295,2.91254,1.76332,0.30077,0.18205,0.1387,0.08297,1.57667,2.36116,1.70431,0.00980156,0.00980156,0.00980156
4,2623.03,1.56831,2.63517,1.64987,0.3468,0.2201,0.18601,0.11551,1.49377,2.15097,1.60341,0.009703,0.009703,0.009703
5,3256.14,1.49599,2.43923,1.56976,0.37475,0.24462,0.22156,0.14188,1.44259,2.03141,1.54307,0.009604,0.009604,0.009604
6,3890.5,1.45737,2.32014,1.52046,0.39086,0.25647,0.24287,0.15684,1.41455,1.95868,1.50913,0.009505,0.009505,0.009505
7,4515.92,1.42918,2.23549,1.4878,0.39071,0.26414,0.25565,0.16662,1.3948,1.9172,1.48559,0.009406,0.009406,0.009406
8,5165.55,1.40781,2.1695,1.46263,0.41568,0.27022,0.26585,0.1739,1.38253,1.88866,1.47013,0.009307,0.009307,0.009307
9,5794.26,1.39197,2.12223,1.44478,0.42501,0.27473,0.27419,0.17992,1.37213,1.87018,1.45771,0.009208,0.009208,0.009208
10,6423.81,1.37802,2.07921,1.42757,0.43208,0.28214,0.28114,0.18488,1.36308,1.85619,1.44661,0.009109,0.009109,0.009109
11,7048.48,1.36612,2.04688,1.412,0.44467,0.28394,0.28782,0.18988,1.35571,1.84424,1.43655,0.00901,0.00901,0.00901
12,7697.05,1.35744,2.01289,1.40167,0.45523,0.28621,0.29364,0.1948,1.34904,1.83055,1.42708,0.008911,0.008911,0.008911
13,8339.79,1.34955,1.9919,1.39185,0.47244,0.28775,0.29871,0.19902,1.34141,1.81738,1.41744,0.008812,0.008812,0.008812
14,8953.6,1.34323,1.96653,1.38303,0.48483,0.29191,0.30538,0.20367,1.33542,1.80191,1.40827,0.008713,0.008713,0.008713
15,9591.55,1.33497,1.9481,1.37374,0.48812,0.29849,0.31187,0.20829,1.32846,1.78512,1.39894,0.008614,0.008614,0.008614
16,10215.9,1.32933,1.92902,1.36567,0.48832,0.30307,0.31808,0.21295,1.32086,1.76631,1.38863,0.008515,0.008515,0.008515
17,10863.5,1.32448,1.91238,1.35844,0.49971,0.31049,0.32494,0.21814,1.314,1.747,1.37901,0.008416,0.008416,0.008416
18,11499.2,1.31874,1.90113,1.35314,0.50002,0.31617,0.33073,0.22245,1.30689,1.72852,1.36932,0.008317,0.008317,0.008317
19,12103,1.31422,1.88738,1.34661,0.50374,0.31998,0.33756,0.22746,1.29965,1.70818,1.35988,0.008218,0.008218,0.008218
20,12733.4,1.31156,1.87383,1.34345,0.51407,0.32578,0.34344,0.23203,1.29184,1.68788,1.35054,0.008119,0.008119,0.008119
