epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,660.703,2.78637,4.75094,3.15996,0.41194,0.02728,0.01702,0.00797,2.05572,3.39659,2.30259,0.00333288,0.00333288,0.00333288
2,1324.23,1.81978,3.41006,1.97907,0.24523,0.12074,0.08109,0.04509,1.71944,2.70486,1.88407,0.00664422,0.00664422,0.00664422
3,1973.09,1.65266,2.9116,1.7632,0.29728,0.18204,0.13959,0.08317,1.57533,2.36201,1.7056,0.00993355,0.00993355,0.00993355
4,2637.8,1.56752,2.63488,1.64815,0.3714,0.21953,0.18574,0.1159,1.49146,2.15373,1.59832,0.009901,0.009901,0.009901
5,3269.89,1.49635,2.43776,1.56907,0.36242,0.2466,0.22051,0.1408,1.44266,2.03146,1.54116,0.009868,0.009868,0.009868
6,3909.67,1.45644,2.3193,1.52006,0.38978,0.25838,0.24205,0.1566,1.41497,1.9573,1.50887,0.009835,0.009835,0.009835
7,4555.94,1.42841,2.23486,1.48817,0.40976,0.26516,0.2569,0.16761,1.39667,1.91363,1.48704,0.009802,0.009802,0.009802
8,5199.16,1.40942,2.17028,1.46448,0.42396,0.26997,0.26642,0.17462,1.38422,1.88722,1.47203,0.009769,0.009769,0.009769
9,5839.99,1.3938,2.12285,1.44599,0.4303,0.27356,0.27345,0.1799,1.374,1.87067,1.45965,0.009736,0.009736,0.009736
10,6490.37,1.37996,2.08086,1.43008,0.44084,0.27986,0.28017,0.18498,1.3645,1.85833,1.44836,0.009703,0.009703,0.009703
11,7122.62,1.37021,2.05129,1.41731,0.45079,0.28163,0.28553,0.18911,1.35606,1.84873,1.43762,0.00967,0.00967,0.00967
12,7760.05,1.35999,2.01775,1.40667,0.45566,0.28212,0.29113,0.19332,1.34917,1.83853,1.42839,0.009637,0.009637,0.009637
13,8401.67,1.35305,1.99872,1.39582,0.46003,0.28565,0.29677,0.19792,1.34122,1.8268,1.41845,0.009604,0.009604,0.009604
14,9031.14,1.34712,1.97815,1.38789,0.46922,0.29055,0.30332,0.20291,1.33407,1.81137,1.40851,0.009571,0.009571,0.009571
15,9678.5,1.33967,1.95603,1.37992,0.48547,0.29701,0.30898,0.20723,1.32657,1.79354,1.39839,0.009538,0.009538,0.009538
16,10320.2,1.33464,1.93941,1.37263,0.49206,0.29969,0.31547,0.21136,1.3188,1.77437,1.38855,0.009505,0.009505,0.009505
17,10966.5,1.32918,1.92459,1.3632,0.50307,0.30433,0.32228,0.21627,1.3113,1.75216,1.37833,0.009472,0.009472,0.009472
18,11618.2,1.32387,1.91523,1.35899,0.50761,0.31105,0.32885,0.22118,1.3035,1.73091,1.36852,0.009439,0.009439,0.009439
19,12241.9,1.32076,1.90327,1.3545,0.51236,0.31714,0.33562,0.22612,1.29571,1.70831,1.35901,0.009406,0.009406,0.009406
20,12891.3,1.31783,1.88936,1.34841,0.52101,0.31963,0.34225,0.2309,1.2882,1.68652,1.34999,0.009373,0.009373,0.009373
21,13516.3,1.31268,1.87942,1.34381,0.52616,0.32474,0.34847,0.23579,1.28126,1.66653,1.34161,0.00934,0.00934,0.00934
22,14081.2,1.30924,1.87113,1.34062,0.52762,0.33173,0.35391,0.2401,1.27518,1.64718,1.33389,0.009307,0.009307,0.009307
23,14735.1,1.30674,1.86186,1.33552,0.52809,0.33811,0.35953,0.24445,1.26917,1.62798,1.32621,0.009274,0.009274,0.009274
24,15392.5,1.30457,1.85061,1.33232,0.52935,0.34256,0.36468,0.24833,1.2626,1.60969,1.31916,0.009241,0.009241,0.009241
25,16049.2,1.30081,1.84255,1.32839,0.53108,0.34756,0.37044,0.25253,1.25766,1.59327,1.31289,0.009208,0.009208,0.009208
26,16683.5,1.30007,1.84129,1.32643,0.53609,0.35128,0.37494,0.25603,1.25226,1.57784,1.30635,0.009175,0.009175,0.009175
27,17309.2,1.29825,1.83144,1.32396,0.54274,0.3548,0.38026,0.25992,1.24801,1.56289,1.30094,0.009142,0.009142,0.009142
28,17967.2,1.29521,1.82541,1.32217,0.54832,0.3569,0.38412,0.26319,1.24372,1.54952,1.29614,0.009109,0.009109,0.009109
29,18607.5,1.29426,1.81663,1.31805,0.54687,0.36271,0.38703,0.2656,1.24024,1.5377,1.29164,0.009076,0.009076,0.009076
30,19237,1.29375,1.81402,1.31684,0.54892,0.36348,0.38993,0.26781,1.23681,1.52682,1.28724,0.009043,0.009043,0.009043
31,19840.5,1.2882,1.8055,1.31384,0.55206,0.36544,0.39356,0.27006,1.23366,1.51694,1.28312,0.00901,0.00901,0.00901
32,20487.3,1.28837,1.80241,1.3124,0.56251,0.36638,0.39665,0.27225,1.23063,1.50706,1.27934,0.008977,0.008977,0.008977
33,21124.4,1.28555,1.79876,1.30968,0.55516,0.37161,0.39926,0.27403,1.22838,1.49938,1.27611,0.008944,0.008944,0.008944
34,21751.9,1.28417,1.79209,1.3081,0.55728,0.37458,0.40267,0.27632,1.2257,1.4907,1.27237,0.008911,0.008911,0.008911
35,22405.4,1.28342,1.78834,1.30722,0.55964,0.37538,0.40501,0.27799,1.2233,1.48253,1.26898,0.008878,0.008878,0.008878
36,23070.9,1.28197,1.78506,1.3052,0.55807,0.37827,0.40688,0.27956,1.22098,1.47548,1.26565,0.008845,0.008845,0.008845
37,23712.2,1.28104,1.77948,1.30321,0.55315,0.38537,0.40984,0.28149,1.21845,1.46749,1.26234,0.008812,0.008812,0.008812
38,24323.2,1.28118,1.77356,1.30164,0.55289,0.38823,0.41215,0.28294,1.21641,1.46055,1.25926,0.008779,0.008779,0.008779
