epoch,time,train/box,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
1,1.88178,2.7427,5.89189,4.32218,0,0,0,0,3.37884,5.96471,4.1588,0,0,0
2,3.65535,2.91291,5.55169,4.36458,0,0,0,0,3.37902,5.9645,4.15872,1.07219e-06,1.07219e-06,1.07219e-06
3,5.36879,2.78713,5.81587,4.37331,0,0,0,0,3.3792,5.96361,4.15863,1.90876e-06,1.90876e-06,1.90876e-06
4,7.09753,2.69852,5.61902,4.26902,0,0,0,0,3.37935,5.96059,4.15856,2.50971e-06,2.50971e-06,2.50971e-06
5,8.79911,2.7015,5.72251,4.4688,0,0,0,0,3.37953,5.95928,4.15848,2.87504e-06,2.87504e-06,2.87504e-06
6,10.5999,2.61757,5.53594,4.37593,0,0,0,0,3.3797,5.95916,4.1584,3.00475e-06,3.00475e-06,3.00475e-06
7,12.3624,2.70326,5.78054,4.24808,0,0,0,0,3.37988,5.9591,4.15833,2.89884e-06,2.89884e-06,2.89884e-06
8,14.0611,2.71744,5.66655,4.32776,0,0,0,0,3.38006,5.95907,4.15825,2.55731e-06,2.55731e-06,2.55731e-06
9,15.7253,3.07433,5.93105,4.42248,0,0,0,0,3.38022,5.95902,4.15819,1.98016e-06,1.98016e-06,1.98016e-06
10,17.4282,2.83946,5.67176,4.35206,0,0,0,0,3.38039,5.95845,4.15812,1.16739e-06,1.16739e-06,1.16739e-06
